12371,1027,A,BUY,120,12
12372,1008,X,SELL,90,13
12373,1007,X,SELL,220,14
12374,1003,X,SELL,110,16
12345,1001,A,BUY,110,4
12346,1002,X,BUY,110,3
12347,1003,A,SELL,110,3
12348,1004,A,BUY,125,8
12349,1005,A,BUY,300,5
12350,1006,A,SELL,200,6
12351,1007,A,SELL,100,9
12352,1008,A,SELL,90,11
12353,1001,X,BUY,110,13
12354,1010,A,BUY,140,21
12355,1011,A,BUY,150,10
12356,1012,A,BUY,70,15
12357,1013,A,BUY,80,16
12358,1007,X,SELL,220,17
12359,1015,A,SELL,120,7
12360,1016,A,SELL,130,8
12361,1017,A,SELL,125,6
12362,1005,X,BUY,300,5
12363,1019,A,BUY,125,4
12364,1020,A,BUY,118,3
12365,1001,X,BUY,110,2
12366,1022,A,BUY,170,1
12367,1023,A,SELL,250,90000
12368,1003,X,SELL,110,9
12369,1025,A,BUY,300,8
12370,1026,A,BUY,110,8
12371,1027,A,BUY,120,12
12372,1008,X,SELL,90,13
12373,1007,X,SELL,220,14
12374,1003,X,SELL,110,16
12345,1001,A,BUY,110,4
12346,1002,X,BUY,110,3
12347,1003,A,SELL,110,3
12348,1004,A,BUY,125,8
12349,1005,A,BUY,300,5
12350,1006,A,SELL,200,6
12351,1007,A,SELL,100,9
12352,1008,A,SELL,90,11
12353,1001,X,BUY,110,2000000
12354,1010,A,BUY,140,21
12355,1011,A,BUY,150,10
12356,1012,A,BUY,70,15
12357,1013,A,BUY,80,16
12358,1007,X,SELL,220,17
12359,1015,A,SELL,120,7
12360,1016,A,SELL,130,8
12361,1017,A,SELL,125,6
12362,1005,X,BUY,300,5
12363,1019,A,BUY,125,4
12364,1020,A,BUY,118,3
12364,1020,A,BUY,118,9999999
12371,1027,A,BUY,120,12
12372,1008,X,SELL,90,13
12373,1007,X,SELL,220,14
12374,1003,X,SELL,110,16
12345,1001,A,BUY,110,4
12346,1002,X,BUY,110,3
12347,1003,A,SELL,110,3
12348,1004,A,BUY,125,8
12349,1005,A,BUY,300,5
12350,1006,A,SELL,200,6
12351,1007,A,SELL,100,9
12352,1008,A,SELL,90,11
12353,1001,X,BUY,110,13
12354,1010,A,BUY,140,21
12355,1011,A,BUY,150,10
12356,1012,A,BUY,70,15
12357,1013,A,BUY,80,16
12358,1007,X,SELL,220,17
12359,1015,A,SELL,120,7
12360,1016,A,SELL,130,8
12361,1017,A,SELL,125,6
12362,1005,X,BUY,300,5
12363,1019,A,BUY,125,4
12364,1020,A,BUY,118,3
12365,1001,X,BUY,110,2
12366,1022,A,BUY,170,1
12367,1023,A,SELL,250,90000
12368,1003,X,SELL,110,9
12369,1025,A,BUY,300,8
12370,1026,A,BUY,110,8
12371,1027,A,BUY,120,12
12372,1008,X,SELL,90,13
12373,1007,X,SELL,220,14
12374,1003,X,SELL,110,16
12345,1001,A,BUY,110,4
12346,1002,X,BUY,110,3
12347,1003,A,SELL,110,3
12348,1004,A,BUY,125,8
12349,1005,A,BUY,300,5
12350,1006,A,SELL,200,6
12351,1007,A,SELL,100,9
12352,1008,A,SELL,90,11
12353,1001,X,BUY,110,2000000
12354,1010,A,BUY,140,21
12355,1011,A,BUY,150,10
12356,1012,A,BUY,70,15
12357,1013,A,BUY,80,16
12358,1007,X,SELL,220,17
12359,1015,A,SELL,120,7
12360,1016,A,SELL,130,8
12361,1017,A,SELL,125,6
12362,1005,X,BUY,300,5
12363,1019,A,BUY,125,4
12364,1020,A,BUY,118,3
12364,1020,A,BUY,118,9999999
12371,1027,A,BUY,120,12
12372,1008,X,SELL,90,13
12373,1007,X,SELL,220,14
12374,1003,X,SELL,110,16
12345,1001,A,BUY,110,4
12346,1002,X,BUY,110,3
12347,1003,A,SELL,110,3
12348,1004,A,BUY,125,8
12349,1005,A,BUY,300,5
12350,1006,A,SELL,200,6
12351,1007,A,SELL,100,9
12352,1008,A,SELL,90,11
12353,1001,X,BUY,110,13
12354,1010,A,BUY,140,21
12355,1011,A,BUY,150,10
12356,1012,A,BUY,70,15
12357,1013,A,BUY,80,16
12358,1007,X,SELL,220,17
12359,1015,A,SELL,120,7
12360,1016,A,SELL,130,8
12361,1017,A,SELL,125,6
12362,1005,X,BUY,300,5
12363,1019,A,BUY,125,4
12364,1020,A,BUY,118,3
12365,1001,X,BUY,110,2
12366,1022,A,BUY,170,1
12367,1023,A,SELL,250,90000
12368,1003,X,SELL,110,9
12369,1025,A,BUY,300,8
12370,1026,A,BUY,110,8
12371,1027,A,BUY,120,12
12372,1008,X,SELL,90,13
12373,1007,X,SELL,220,14
12374,1003,X,SELL,110,16
12345,1001,A,BUY,110,4
12346,1002,X,BUY,110,3
12347,1003,A,SELL,110,3
12348,1004,A,BUY,125,8
12349,1005,A,BUY,300,5
12350,1006,A,SELL,200,6
12351,1007,A,SELL,100,9
12352,1008,A,SELL,90,11
12353,1001,X,BUY,110,2000000
12354,1010,A,BUY,140,21
12355,1011,A,BUY,150,10
12356,1012,A,BUY,70,15
12357,1013,A,BUY,80,16
12358,1007,X,SELL,220,17
12359,1015,A,SELL,120,7
12360,1016,A,SELL,130,8
12361,1017,A,SELL,125,6
12362,1005,X,BUY,300,5
12363,1019,A,BUY,125,4
12364,1020,A,BUY,118,3
12364,1020,A,BUY,118,9999999
12371,1027,A,BUY,120,12
12372,1008,X,SELL,90,13
12373,1007,X,SELL,220,14
12374,1003,X,SELL,110,16
12345,1001,A,BUY,110,4
12346,1002,X,BUY,110,3
12347,1003,A,SELL,110,3
12348,1004,A,BUY,125,8
12349,1005,A,BUY,300,5
12350,1006,A,SELL,200,6
12351,1007,A,SELL,100,9
12352,1008,A,SELL,90,11
12353,1001,X,BUY,110,13
12354,1010,A,BUY,140,21
12355,1011,A,BUY,150,10
12356,1012,A,BUY,70,15
12357,1013,A,BUY,80,16
12358,1007,X,SELL,220,17
12359,1015,A,SELL,120,7
12360,1016,A,SELL,130,8
